,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,repay_fail
14,824974,1033732,15000,15000,15000,36 months,15.23,521.68,7 years,MORTGAGE,38400,Source Verified,Jul-11,Fully Paid,small_business,721xx,AR,17.38,1,Oct-99,2,13,5,0,1960,81.70%,12,18760.5504,18760.55,15000,3760.55,Jun-14,1570.19,NA,Jun-16,0
15,614770,788329,16000,3325,3225,36 months,6.54,101.97,4 years,MORTGAGE,1.00E+05,Verified,Nov-10,Fully Paid,debt_consolidation,775xx,TX,6.05,0,Dec-89,0,79,5,0,11006,65.10%,36,3671.069608,3560.66,3325,346.07,Dec-13,119.69,NA,Jun-16,0
16,431061,511469,7000,7000,6878.91,36 months,16.63,248.29,7 years,RENT,30996,Verified,Aug-09,Fully Paid,debt_consolidation,082xx,NJ,8.32,2,Jan-02,1,19,3,0,6082,96.50%,11,7947.009056,7811.26,7000,947.01,Jul-10,5470.42,NA,Feb-13,0
17,626978,803399,15000,10875,10825,60 months,9.99,231.01,2 years,MORTGAGE,23500,Source Verified,Dec-10,Fully Paid,debt_consolidation,857xx,AZ,11.95,0,Mar-01,1,NA,8,0,3584,16.60%,12,13860.45333,13796.73,10875,2985.45,Dec-15,230.86,NA,Jan-16,0
18,453529,560782,9000,9000,8948.17216,36 months,21.21,340.06,2 years,MORTGAGE,90000,Not Verified,Oct-09,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,530xx,WI,10.24,0,Oct-05,10,NA,9,0,6089,45.10%,23,10092.85412,10029.77,9000,1092.85,Aug-10,5880.8,Sep-10,Aug-10,0
19,439656,531415,13000,13000,12925,36 months,11.83,430.75,3 years,MORTGAGE,107004,Not Verified,Sep-09,Fully Paid,debt_consolidation,240xx,VA,13.2,0,Sep-00,1,NA,14,0,38433,56.50%,31,15506.63274,15417.17,13000,2506.63,Sep-12,462.57,NA,Jun-16,0
20,475860,602597,4500,4500,4500,36 months,11.83,149.11,< 1 year,MORTGAGE,12960,Not Verified,Jan-10,Fully Paid,debt_consolidation,242xx,VA,9.17,0,Mar-97,2,NA,7,1,2832,36.80%,10,5368.145768,5368.15,4500,868.15,Feb-13,163.7,NA,Feb-13,0
21,428175,506399,10500,10500,7386.297359,36 months,12.53,351.4,3 years,RENT,51504,Not Verified,Jul-09,Fully Paid,credit_card,784xx,TX,23.49,0,Oct-01,1,NA,12,0,18709,63.90%,19,12667.99707,8543.7,10499.99,2150.43,Aug-12,361.85,NA,Aug-12,0
22,531060,686638,2000,2000,2000,36 months,13.61,67.98,1 year,RENT,26496,Not Verified,Jun-10,Fully Paid,debt_consolidation,926xx,CA,17.71,0,May-06,0,NA,5,0,5992,37.90%,7,2447.360162,2447.36,2000,447.36,Jul-13,81.77,NA,Jul-13,0
23,435217,519936,8000,8000,7671.428316,36 months,11.14,262.43,4 years,MORTGAGE,55000,Not Verified,Aug-09,Fully Paid,credit_card,300xx,GA,18.89,1,Mar-94,1,18,14,0,36269,41.60%,27,9447.75419,9047.56,8000,1447.75,Sep-12,264.34,NA,Aug-12,0
24,780079,982833,14400,14400,14400,36 months,8.9,457.25,4 years,RENT,59000,Not Verified,Jun-11,Fully Paid,credit_card,750xx,TX,10.72,0,Oct-05,0,NA,5,0,20380,63.90%,10,15337.03068,15337.03,14400,937.03,Aug-12,1305.23,NA,Jul-15,0
25,848062,1059619,6000,6000,6000,36 months,15.99,210.92,1 year,RENT,45000,Not Verified,Aug-11,Fully Paid,small_business,112xx,NY,3.84,0,Jan-08,0,NA,3,0,6195,86%,3,7595.32908,7595.33,6000,1595.33,Sep-14,235.93,NA,Jul-14,0
26,739682,937278,4200,4200,4200,36 months,13.06,141.64,10+ years,MORTGAGE,78000,Not Verified,Apr-11,Fully Paid,major_purchase,088xx,NJ,13.82,5,Feb-80,1,1,14,0,23653,85.20%,28,5098.865209,5098.87,4200,898.87,May-14,146.81,NA,May-14,0
27,714999,908482,3600,3600,3600,36 months,14.17,123.34,4 years,RENT,30000,Verified,Apr-11,Fully Paid,other,924xx,CA,0.68,1,Feb-06,2,16,4,0,278,5.60%,9,3684.305325,3684.31,3600,84.31,Jun-11,3561.66,NA,Jun-11,0
28,584444,750991,5000,5000,5000,36 months,6,152.11,10+ years,RENT,34868.4,Source Verified,Sep-10,Fully Paid,wedding,321xx,FL,4.37,1,Jan-02,3,15,2,0,2295,38.90%,7,5936.962272,5936.96,5000,936.96,Apr-12,2973.62,NA,Aug-15,0
29,469684,592582,7000,7000,6975,36 months,16.35,247.31,< 1 year,RENT,36000,Not Verified,Dec-09,Fully Paid,other,945xx,CA,3.73,0,Nov-04,0,25,2,0,3722,93%,3,8616.124601,8585.35,7000,1616.12,Dec-11,3186.4,NA,Dec-11,0
30,799050,1004210,2800,2800,2800,36 months,7.49,87.09,4 years,RENT,48000,Not Verified,Jul-11,Fully Paid,other,934xx,CA,25.45,0,Nov-02,3,45,6,0,1513,22.60%,20,3135.020847,3135.02,2800,335.02,Jul-14,105.94,NA,Jul-14,0
31,433166,515390,6500,6500,6375,36 months,15.65,227.41,4 years,RENT,42500,Not Verified,Aug-09,Charged Off,medical,148xx,NY,13.16,0,Oct-97,1,NA,6,0,1542,90.70%,8,2072.47,2032.64,1191.48,623.57,Apr-10,227.41,NA,Sep-10,1
32,392880,430130,9575,9575,9280.497737,36 months,9.63,307.31,2 years,OWN,56996,Source Verified,Apr-09,Fully Paid,car,941xx,CA,10.72,0,May-05,0,NA,11,0,8305,26.90%,15,10995.44109,10656.45,9575,1420.44,Oct-11,2407.57,NA,Oct-13,0
33,813783,1002494,17325,17325,17075,36 months,11.99,575.36,1 year,MORTGAGE,114000,Source Verified,Jul-11,Fully Paid,credit_card,941xx,CA,12.89,0,Sep-97,0,NA,7,0,7914,65.90%,13,20712.7521,20413.87,17325,3387.75,Aug-14,576.92,NA,Oct-15,0
34,798147,1003244,16000,16000,16000,60 months,16.49,393.27,4 years,MORTGAGE,65000,Verified,Jul-11,Fully Paid,debt_consolidation,331xx,FL,17.54,0,May-00,1,76,12,0,7826,24.20%,24,17933.27852,17933.28,16000,1933.28,Aug-12,223.87,NA,Jun-13,0
35,698976,890473,12000,12000,11750,36 months,7.29,372.12,10+ years,RENT,68400,Source Verified,Mar-11,Fully Paid,debt_consolidation,995xx,AK,17.05,0,Jun-02,0,NA,19,0,30181,52.30%,44,13360.83486,13082.48,12000,1360.83,Mar-14,217.94,NA,Jun-16,0
36,657350,840685,10000,10000,9975,36 months,6.92,308.41,10+ years,RENT,43337,Not Verified,Jan-11,Fully Paid,small_business,770xx,TX,24.89,0,May-01,0,NA,5,0,3888,36.20%,8,11103.43382,11075.67,10000,1103.43,Feb-14,315.04,NA,Feb-14,0
37,1063892,1296470,18000,18000,18000,36 months,6.62,552.67,2 years,MORTGAGE,78000,Not Verified,Dec-11,Fully Paid,debt_consolidation,760xx,TX,6.35,0,Mar-92,0,NA,8,0,16136,25%,13,19895.96,19895.96,18000,1895.96,Dec-14,574.46,NA,Dec-14,0
38,584317,750801,1450,1450,1450,36 months,7.51,45.12,n/a,RENT,10000,Source Verified,Sep-10,Fully Paid,other,021xx,MA,22.2,0,Jun-04,0,NA,9,0,709,3.20%,10,1555.993411,1555.99,1450,105.99,Dec-11,970.62,NA,Dec-11,0
39,701975,893813,12500,12500,12425,36 months,18.62,455.81,2 years,RENT,43560,Source Verified,Mar-11,Fully Paid,debt_consolidation,553xx,MN,5.43,0,Feb-08,0,NA,4,0,8735,85.60%,8,15628.43262,15534.66,12500,3128.43,Jul-13,1789.83,NA,Jun-16,0
40,364937,375772,5500,5500,5119.56414,36 months,14.62,189.64,3 years,RENT,24000,Not Verified,Dec-08,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,331xx,FL,20.45,0,Mar-05,4,NA,4,0,4609,83.80%,7,6857.360454,6351.33,5499.98,1327.38,Dec-11,195.09,Jan-12,Jun-16,0
41,527744,682603,6000,6000,5900.465799,60 months,11.49,131.93,3 years,RENT,24000,Not Verified,Jun-10,Fully Paid,debt_consolidation,532xx,WI,10.65,0,Aug-98,1,NA,7,0,2607,35.20%,20,7928.340004,7776.63,6000,1913.34,Jun-15,148.76,NA,Jun-16,0
42,612510,785399,25000,25000,24900,36 months,15.57,873.63,7 years,MORTGAGE,2.00E+05,Verified,Nov-10,Fully Paid,debt_consolidation,750xx,TX,23.78,0,Apr-96,0,NA,19,0,98433,83.80%,39,29280.77624,29163.65,25000,4280.78,Mar-12,16196.06,NA,Apr-12,0
43,496412,636080,12000,12000,10825,36 months,9.88,386.53,6 years,MORTGAGE,80000,Not Verified,Apr-10,Fully Paid,debt_consolidation,206xx,MD,15.03,0,Nov-88,0,NA,13,0,19330,23%,23,13224.09719,11929.24,12000,1224.1,Aug-11,19.46,NA,Jun-16,0
44,977383,1200186,14275,14275,14275,60 months,20.3,380.59,6 years,MORTGAGE,54000,Verified,Oct-11,Fully Paid,home_improvement,853xx,AZ,19.31,0,Feb-99,2,NA,10,1,11619,81.80%,20,20611.20871,20611.21,14275,6336.21,Jun-14,8823.15,NA,Jul-15,0
45,382919,412923,10000,10000,9934.892823,36 months,14.11,342.29,1 year,RENT,45000,Not Verified,Mar-09,Fully Paid,debt_consolidation,905xx,CA,7.95,0,Oct-02,0,25,7,0,11816,47.60%,10,12322.38679,12240.28,9999.99,2322.4,Mar-12,351.54,NA,Mar-12,0
46,751452,950898,20050,20050,19775,36 months,10.59,652.53,9 years,MORTGAGE,76000,Verified,May-11,Fully Paid,debt_consolidation,956xx,CA,20.21,0,Jan-97,0,NA,8,0,29303,60.30%,15,20746.87624,20462.32,20050,696.88,Feb-12,2844.61,NA,Jun-16,0
47,599746,769809,25000,15050,14666.44538,60 months,12.61,339.44,< 1 year,RENT,65000,Verified,Oct-10,Fully Paid,debt_consolidation,117xx,NY,24.57,0,Oct-02,3,NA,17,0,5277,20.70%,28,20366.11789,19762.83,15050,5316.12,Nov-15,339.15,NA,Jun-16,0
48,874158,1088555,7000,7000,7000,36 months,11.49,230.8,2 years,RENT,72000,Not Verified,Sep-11,Fully Paid,credit_card,951xx,CA,18.3,0,Sep-99,3,NA,17,0,15260,61.50%,37,8308.750002,8308.75,7000,1308.75,Sep-14,245.14,NA,Sep-14,0
49,788475,992188,5000,5000,5000,36 months,5.42,150.8,2 years,MORTGAGE,1.00E+05,Not Verified,Jun-11,Fully Paid,debt_consolidation,100xx,NY,5.9,0,Jul-83,0,NA,11,0,5207,11.70%,26,5410.105852,5410.11,5000,410.11,Dec-13,1197.82,NA,Jun-16,0
50,237917,224754,12325,12325,5625,36 months,18.36,447.81,10+ years,MORTGAGE,54000,Not Verified,Feb-08,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,897xx,NV,14.82,2,Dec-91,3,8,22,0,8079,45.40%,48,16234.67126,7409.33,12325,3909.67,Jun-11,216.09,Jul-11,Jun-11,0
51,546341,704531,8000,8000,8000,36 months,13.61,271.91,8 years,MORTGAGE,58000,Source Verified,Jul-10,Fully Paid,credit_card,430xx,OH,22.49,1,Nov-97,3,23,17,0,6637,24%,25,9560.659512,9560.66,8000,1560.66,Aug-12,50.32,NA,Feb-16,0
52,740505,938229,35000,35000,28825.00602,60 months,21.74,961.5,n/a,MORTGAGE,73000,Verified,May-11,Charged Off,small_business,430xx,OH,17.44,3,Nov-95,1,21,8,0,19505,97.50%,26,12320.78,10145.25,2787.92,4894,Jan-12,961.5,NA,Jun-12,1
53,495891,635280,8500,8500,8500,36 months,10.62,276.76,2 years,RENT,45000,Not Verified,Mar-10,Fully Paid,debt_consolidation,410xx,KY,2.01,0,Sep-98,1,52,12,0,7011,48%,35,9385.106074,9385.11,8500,885.11,Jun-11,5795.2,NA,Feb-15,0
54,522602,675979,10000,9550,9418.065777,60 months,10.75,206.46,5 years,MORTGAGE,75000,Not Verified,Jun-10,Fully Paid,major_purchase,619xx,IL,7.97,0,Jul-91,3,NA,10,0,11471,16.60%,39,11652.6081,11478.75,9550,2102.61,Jan-13,5463.99,NA,Apr-13,0
55,519239,671269,12000,12000,11955.05929,36 months,12.73,402.77,4 years,OWN,31000,Not Verified,May-10,Fully Paid,debt_consolidation,238xx,VA,16.57,0,Sep-04,0,NA,5,0,12561,53.90%,5,14501.22566,14439.49,12000,2501.23,Jun-13,466.45,NA,May-13,0
1,1,1,NA,NA,NA,60 months,100.99,NA,10+ years,MORTGAGE,NA,Verified,Jan-07,Current,credit_card,999xx,AA,100,NA,Dec-99,NA,0,NA,NA,NA,“100.00%”,NA,NA,NA,NA,NA,Jan-99,NA,Jan-99,Jan-99,0
56,768605,969928,19250,19250,19250,60 months,14.79,455.84,8 years,MORTGAGE,65004,Verified,Jun-11,Fully Paid,debt_consolidation,208xx,MD,8.79,0,Nov-99,1,NA,6,0,17606,70.70%,16,26715.93,26715.93,19250,7465.93,Jul-15,56.73,NA,Jun-16,0
57,735359,932052,11000,11000,10975,60 months,10.37,235.73,10+ years,MORTGAGE,48000,Verified,May-11,Fully Paid,car,432xx,OH,21.38,0,Oct-96,0,75,5,0,2598,42.60%,16,14068.66001,14036.69,11000,3068.66,Aug-15,2310.28,NA,Sep-15,0
58,659702,843747,6000,6000,6000,36 months,14.54,206.65,2 years,RENT,41196,Verified,Jan-11,Fully Paid,credit_card,030xx,NH,23.24,0,Feb-05,1,NA,11,0,4755,95.10%,18,7441.761269,7441.76,6000,1441.76,Feb-14,217.67,NA,Feb-14,0
59,812580,1019748,16000,16000,16000,36 months,10.99,523.75,< 1 year,OWN,52000,Verified,Jul-11,Fully Paid,debt_consolidation,457xx,OH,24,0,Aug-00,1,NA,17,0,16582,42.70%,43,18779.64573,18779.65,16000,2779.65,Feb-14,2728.64,NA,Jun-16,0
60,645220,825612,8000,8000,7900,36 months,7.66,249.44,< 1 year,RENT,19200,Source Verified,Mar-11,Fully Paid,major_purchase,067xx,CT,1.25,0,Dec-99,0,40,3,0,351,12.10%,4,8936.899904,8825.19,8000,936.9,Aug-13,1991.79,NA,Aug-13,0
61,968565,1189546,30000,30000,30000,60 months,11.71,662.95,3 years,MORTGAGE,82000,Source Verified,Oct-11,Charged Off,other,921xx,CA,0.22,0,Apr-94,0,NA,6,0,518,2.50%,14,9943.49,9943.49,5940.22,3989.63,Jan-13,662.95,NA,Jun-16,1
62,621682,796762,3500,3500,3500,36 months,5.42,105.56,5 years,RENT,60000,Not Verified,Nov-10,Fully Paid,small_business,945xx,CA,14.1,0,Jan-96,0,NA,8,0,809,6.90%,16,3800.487597,3800.49,3500,300.49,Dec-13,114.82,NA,Jun-16,0
63,500656,643138,6400,6400,5400,36 months,7.14,198.02,6 years,MORTGAGE,67807,Not Verified,Apr-10,Fully Paid,home_improvement,774xx,TX,9.43,0,Nov-93,0,NA,5,0,1113,8.60%,20,7096.003486,5987.25,6400,696,Sep-12,1562.45,NA,Sep-12,0
64,677048,865097,13800,13800,13800,36 months,7.66,430.29,2 years,RENT,105000,Source Verified,Feb-11,Fully Paid,debt_consolidation,983xx,WA,21.15,0,Mar-00,2,NA,10,0,8783,38.40%,20,15393.6719,15393.67,13800,1593.67,Jul-13,3809.25,NA,Jul-13,0
65,816779,1024548,15000,15000,15000,36 months,17.99,542.22,2 years,MORTGAGE,63830,Verified,Jul-11,Fully Paid,debt_consolidation,750xx,TX,21.04,0,Sep-97,3,51,13,0,5613,58.50%,25,18087.37267,18087.37,15000,3087.37,Jan-13,7723.26,NA,Sep-15,0
66,802655,1008330,1275,1275,1275,36 months,15.23,44.35,2 years,OWN,20400,Verified,Jul-11,Fully Paid,debt_consolidation,953xx,CA,24.59,0,May-98,2,NA,7,0,6032,57.40%,7,1596.239355,1596.24,1275,321.24,Aug-14,52.73,NA,Mar-16,0
67,556722,716856,6500,6500,6500,36 months,14.72,224.44,1 year,RENT,40000,Source Verified,Aug-10,Does not meet the credit policy. Status:Fully Paid,car,113xx,NY,0.93,0,Jul-06,4,NA,4,0,942,31.40%,8,8080.346877,8080.35,6500,1580.35,Aug-13,240.17,Sep-13,Aug-13,0
68,605924,777311,1800,1800,1800,36 months,5.42,54.29,n/a,OWN,29184,Not Verified,Oct-10,Fully Paid,small_business,480xx,MI,23.68,0,Mar-74,2,NA,7,0,30037,23.50%,24,1947.208326,1947.21,1800,147.21,Oct-13,49.34,NA,Jan-15,0
69,1025211,1254359,11200,11200,11025,60 months,22.06,309.72,7 years,RENT,75000,Verified,Nov-11,Fully Paid,other,111xx,NY,22.9,0,Feb-02,0,65,28,0,12249,52.80%,57,18315.30005,18029.12,11200,7115.3,Feb-16,3139.02,NA,Feb-16,0
70,777791,980317,25000,25000,24475,60 months,12.99,568.7,7 years,MORTGAGE,60106,Verified,Jun-11,Fully Paid,debt_consolidation,275xx,NC,25.18,0,Jan-98,0,NA,18,0,30218,39.60%,31,33147.75,32451.65,25000,8147.75,Dec-14,9892.57,NA,Apr-16,0
71,443965,540781,13000,13000,13000,36 months,12.53,435.07,10+ years,MORTGAGE,264000,Verified,Oct-09,Does not meet the credit policy. Status:Fully Paid,credit_card,030xx,NH,10.06,0,Sep-86,1,NA,15,0,229908,77.20%,34,15662.17906,15662.18,13000,2662.18,Oct-12,448.3,Nov-12,Oct-12,0
72,427324,504840,20000,20000,14665.04331,36 months,13.79,681.51,10+ years,MORTGAGE,120000,Verified,Jul-09,Fully Paid,debt_consolidation,981xx,WA,15,2,Jul-88,1,4,21,0,24911,27.20%,41,24042.21383,16791.12,19999.99,4042.22,Aug-11,7690.82,NA,Jun-16,0
73,796943,1001851,10000,10000,10000,36 months,5.42,301.6,10+ years,RENT,28000,Not Verified,Jul-11,Fully Paid,debt_consolidation,604xx,IL,12.69,0,Sep-87,0,NA,13,0,13349,38.80%,35,10857.53439,10857.53,10000,857.53,Jul-14,308.87,NA,Jun-16,0
74,172802,171004,5000,5000,700,36 months,8.7,158.31,10+ years,RENT,48000,Not Verified,Dec-07,Fully Paid,major_purchase,070xx,NJ,0.38,1,Jul-72,2,17,7,0,498,7.30%,25,5698.810312,797.83,5000,698.81,Dec-10,159.37,NA,Jun-16,0
75,857223,1069657,2000,2000,2000,36 months,8.49,63.13,< 1 year,RENT,22800,Source Verified,Aug-11,Fully Paid,car,571xx,SD,3.16,0,Dec-06,3,NA,7,0,1139,17.50%,18,2060.182535,2060.18,2000,60.18,Feb-12,1010.28,NA,Sep-15,0
76,1048392,1279717,10000,10000,9950,36 months,15.27,347.98,< 1 year,RENT,64000,Verified,Dec-11,Fully Paid,debt_consolidation,208xx,MD,3.64,0,Feb-02,3,NA,3,1,6565,69.10%,10,12527.15,12464.51,10000,2527.15,Dec-14,371.66,NA,Feb-15,0
77,225222,217012,2400,2400,1850,36 months,10.46,77.97,2 years,MORTGAGE,27000,Not Verified,Jan-08,Does not meet the credit policy. Status:Fully Paid,major_purchase,201xx,VA,19.29,0,Sep-06,2,0,3,0,1364,34.10%,4,2806.524715,2163.36,2400,406.52,Feb-11,79.27,Feb-11,Apr-15,0
78,727224,922714,10000,10000,10000,36 months,7.29,310.1,5 years,RENT,99000,Not Verified,Apr-11,Fully Paid,wedding,112xx,NY,2.25,0,Jan-84,0,NA,4,0,1540,45.30%,11,11163.54473,11163.54,10000,1163.54,May-14,333.65,NA,Apr-14,0
79,896926,1117477,14825,14825,14825,36 months,12.69,497.31,8 years,MORTGAGE,75000,Verified,Oct-11,Fully Paid,debt_consolidation,925xx,CA,18.53,1,Jan-01,1,21,16,0,23932,63.80%,22,17721.13758,17721.14,14825,2896.14,Feb-14,4320.74,NA,Jun-16,0
80,843108,1053854,4000,4000,4000,36 months,10.99,130.94,10+ years,MORTGAGE,40000,Not Verified,Aug-11,Fully Paid,other,481xx,MI,12.27,0,Oct-88,0,NA,8,0,12341,19.80%,15,4696.064507,4696.06,4000,696.06,Mar-14,788.64,NA,Apr-14,0
81,993915,1218718,29550,29550,29550,36 months,8.9,938.31,2 years,RENT,148616,Verified,Oct-11,Fully Paid,debt_consolidation,346xx,FL,22.86,0,Nov-96,0,NA,8,0,21970,42.90%,24,33635.75922,33635.76,29550,4085.76,May-14,6432.53,NA,Jul-15,0
82,642844,822745,1375,1375,875,36 months,6.91,42.4,< 1 year,RENT,37500,Not Verified,Dec-10,Fully Paid,credit_card,229xx,VA,12.03,0,Sep-04,0,NA,5,0,6768,34.20%,6,1432.734627,911.75,1375,57.73,Sep-11,1136.31,NA,Apr-12,0
83,1041602,1271655,4400,4400,4400,36 months,7.9,137.68,4 years,MORTGAGE,95000,Not Verified,Dec-11,Fully Paid,debt_consolidation,080xx,NJ,1.09,0,May-00,0,29,5,0,2813,54.10%,15,4956.363334,4956.36,4400,556.36,Dec-14,144.26,NA,Dec-14,0
84,610752,783240,15000,15000,14900,36 months,15.95,526.99,7 years,MORTGAGE,54000,Verified,Nov-10,Does not meet the credit policy. Status:Charged Off,debt_consolidation,956xx,CA,9.13,0,Jun-03,4,NA,11,0,14440,86.20%,19,6321.72,6279.44,4090.78,2230.94,Jan-12,550.97,Feb-12,Jun-16,1
85,671846,858829,6000,6000,6000,36 months,7.29,186.06,2 years,RENT,65004,Source Verified,Feb-11,Fully Paid,debt_consolidation,775xx,TX,12.55,1,Aug-03,0,22,13,0,1694,12%,30,6449.782699,6449.78,6000,449.78,Mar-13,362.73,NA,Jun-13,0
86,614130,787334,25000,15975,15875,60 months,13.72,369.4,3 years,OWN,1.00E+05,Verified,Nov-10,Charged Off,small_business,750xx,TX,21.1,0,Dec-93,0,NA,6,0,17557,87.80%,32,5189.78,5157.25,2810.31,2347.6,Feb-12,369.4,NA,Jun-16,1
87,596346,765556,3500,3500,3500,36 months,14.84,121.06,10+ years,MORTGAGE,96000,Verified,Oct-10,Charged Off,medical,208xx,MD,20.4,1,Jun-98,1,19,7,0,13537,75.60%,31,1567.02,1567.02,1084.95,482.07,Dec-11,121.06,NA,Jun-16,1
88,134436,134417,2525,2525,1000,36 months,13.12,85.23,< 1 year,MORTGAGE,40000,Not Verified,Oct-07,Fully Paid,home_improvement,846xx,UT,20.67,1,May-93,3,23,13,0,17641,30.50%,24,3068.020133,1215.06,2525,543.02,Oct-10,89.89,NA,Aug-15,0
89,190846,190819,25000,25000,2550.009713,36 months,13.75,851.41,5 years,RENT,75000,Not Verified,Jan-08,Charged Off,home_improvement,329xx,FL,19.78,0,May-01,2,0,8,0,12308,43.60%,12,7661.88,781.02,5323.38,2338.5,Oct-08,851.41,NA,Jun-16,1
90,841266,1051800,14000,14000,14000,60 months,20.25,372.87,5 years,RENT,42744,Not Verified,Aug-11,Charged Off,credit_card,573xx,SD,20.58,0,Aug-00,1,NA,19,0,17735,49.30%,53,14149.35,14149.35,6423.87,6578.88,Jul-14,372.87,NA,Dec-14,1
91,346720,346948,6500,6500,300,36 months,11.03,212.9,< 1 year,RENT,55000,Not Verified,May-08,Fully Paid,debt_consolidation,971xx,OR,11.76,1,Aug-01,1,5,7,0,6565,26.60%,12,7517.872492,346.98,6500,1017.87,Jun-10,2.16,NA,Jun-10,0
92,716186,909966,2800,2800,2800,60 months,10.74,60.52,5 years,MORTGAGE,61200,Source Verified,Apr-11,Fully Paid,car,283xx,NC,20.2,0,Jun-94,0,NA,10,0,18965,72.90%,20,3544.512784,3544.51,2800,744.51,Jan-15,783,NA,Jun-16,0
93,850434,1062258,21600,21600,21550,36 months,12.99,727.69,10+ years,MORTGAGE,280000,Verified,Aug-11,Fully Paid,debt_consolidation,926xx,CA,6.12,1,May-88,1,18,7,0,53936,0%,16,26240.80999,26180.07,21600,4604.43,Oct-14,782.89,NA,Sep-14,0
